 H5021        |        0.00000
 S1041T       |        0.00000
 A0103        |        0.00000
 A0202        |        0.00000
 A0204        |        0.00000
 A0307        |        0.00000
 A1205        |        0.00000
 A3000        |        0.00000
 A3006        |        0.00000
 A3009        |        0.00000
 A3501        |        0.00000
 A3900        |        0.00000
 A3902        |        0.00000
 C115061      |        1.44864
 C2101023     |        0.77515
 C2104062     |        0.93620
 C3112950     |        0.00000
 C4203115     |        0.91304
 C4203282     |        2.61255
 C4304202     |        1.97224
 C6405201     |        0.00000
 C7002515     |        0.00000
 C8101113     |        0.00000
 C8102482     |        0.81564
 C9101810     |        1.81073
 C9205224     |        1.01281
 C9504745     |        1.98055
 C9504791     |        1.10400
 C9557043     |        0.93023
 H5645        |        0.00000
 MA190237     |        0.00000
 MP030022     |      845.36900
 MQ010344     |      798.77800
 MQ010444     |        0.00000
 MQ010448     |        0.00000
 MQ020096     |       24.00000
 MQ130102     |        0.00000
 MQ130129     |        0.72800
 MQ150054     |        4.64800
 MQ190133     |        0.00000
 MQ200019     |       13.53100
 MQ230072     |        0.00000
 MQ290155     |        0.00000
 MQ310181     |        0.00000
 MQ420034     |       32.00000
 MRC          |        0.00000
 N4750 7      |        0.00000
 OA           |        0.00000
 PA070009     |      331.15300
 R            |        0.00000
 R0037M       |        0.00000
 R0055M       |        0.00000
 S0029M       |        0.00000
 S0612V       |        0.00000
 SPB          |        2.00000
 S0030T       |        0.00000
 S0028M,      |        0.38670
 S0066M1      |        0.00000
 N47605       |        0.00000
 A0222        |        0.00000
 A1104        |        0.00000
 A2103        |        0.00000
 A3913        |        0.00000
 ART62        |        0.00000
 R0625B       |        0.00000
 S0616TV      |        0.60780
              |           0.00
              |        0.00000
              |           0.00
              |        0.00000
 C3111032     |           0.00
 MX_5350      |        0.00000
 MA060021     |     1171.30000
 MX_410NSM    |        0.00000
 MX_244M6     |        0.00000
 C3112907     |           0.00
 MX_933T      |        0.00000
 MX_5710T2    |        0.00000
 MP030028     |     1291.15450
 MX_1900M1    |        0.00000
 MX_433M7     |        0.00000
 MX_410M7     |        0.00000
 MX_616T      |        0.00000
 MX_1400T     |        0.00000
 C3114142     |           0.00
 C4203804     |           0.74
 C4203048     |           0.00
 C1100556     |           0.00
 C3114407     |           0.00
 C3114409     |           1.28
 C3114502     |           0.00
 C3115015     |           0.00
 MX_645M      |        0.00000
 MX_5600      |        0.00000
 MX_555T      |        0.00000
 MX_5636      |        0.00000
 MX_66M       |        0.00000
 MX_1410T     |        0.00000
 MX_208G      |        0.00000
 MX_645T      |        0.00000
 MX_555M      |        0.00000
 MX_1285T     |        0.00000
