BF;    42;20180314  ;401.00298;FRANCICA FRANCESCO GALVANOTECNICA                           ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        5000;   3,85000;        
BF;   138;20180705  ;401.00298;FRANCICA FRANCESCO GALVANOTECNICA                           ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        5000;   3,85000;        
BF;    69;20180406  ;401.00298;FRANCICA FRANCESCO GALVANOTECNICA                           ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        5000;   3,85000;        
BF;    92;20180507  ;401.00298;FRANCICA FRANCESCO GALVANOTECNICA                           ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        5000;   3,85000;        
BF;     3;20180112  ;401.00298;FRANCICA FRANCESCO GALVANOTECNICA                           ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        5000;   3,85000;        
BF;   219;20181109  ;401.00298;FRANCICA FRANCESCO GALVANOTECNICA                           ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        3000;   3,85000;        
BF;   166;20180913  ;401.00298;FRANCICA FRANCESCO GALVANOTECNICA                           ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        5000;   3,85000;        
BF;   162;20180806  ;401.00298;FRANCICA FRANCESCO GALVANOTECNICA                           ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        5000;   3,85000;        
BF;    23;20180207  ;401.00298;FRANCICA FRANCESCO GALVANOTECNICA                           ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        5000;   3,85000;        
BF;   241;20181206  ;401.00298;FRANCICA FRANCESCO GALVANOTECNICA                           ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;KG;        5000;   3,85000;        
BF; 14519;20180806  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        4200;   0,62000;        
BF;  1011;20180117  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        5250;   0,62000;        
BF;  1950;20180131  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        3150;   0,62000;        
BF;  2937;20180222  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        3150;   0,62000;        
BF; 23024;20181218  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        3150;   0,62000;        
BF; 10264;20180606  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        4200;   0,62000;        
BF;  7461;20180430  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        4200;   0,62000;        
BF; 15738;20180910  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        3150;   0,62000;        
BF; 21773;20181130  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        4200;   0,62000;        
BF; 20002;20181107  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        3150;   0,62000;        
BF; 12383;20180705  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        4200;   0,62000;        
BF; 17663;20181001  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        3150;   0,62000;        
BF;  6044;20180404  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        4200;   0,62000;        
BF;  8780;20180516  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        3150;   0,62000;        
BF;  4767;20180314  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;KG;        4200;   0,62000;        
BF; 37347;20181130  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;KG;         200;  22,80000;        
BF; 22267;20180705  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;KG;         200;  22,80000;        
BF; 38316;20181207  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;KG;         200;  22,80000;        
BF; 33210;20181023  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;KG;         200;  22,80000;        
BF;  9733;20180319  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;KG;         250;  22,80000;        
BF; 14209;20180430  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;KG;         250;  22,80000;        
BF;  4997;20180209  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;KG;         250;  22,80000;        
BF; 25295;20180727  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;KG;         100;  22,80000;        
BF;  3591;20181009  ;401.00236;PREMIX S.R.L.                                               ;A0201   ;GRAFITE POLVERE TIMREX PP44 (44                                         ;KG;         500;   2,15000;        
BF;   365;20180206  ;401.00236;PREMIX S.R.L.                                               ;A0201   ;GRAFITE POLVERE TIMREX PP44 (44                                         ;KG;         500;   1,65000;        
BF;  1721;20180509  ;401.00236;PREMIX S.R.L.                                               ;A0201   ;GRAFITE POLVERE TIMREX PP44 (44                                         ;KG;         500;   2,15000;        
BF;  4353;20181206  ;401.00236;PREMIX S.R.L.                                               ;A0201   ;GRAFITE POLVERE TIMREX PP44 (44                                         ;KG;         500;   2,15000;        
BF;   415;20181003  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0203   ;CARBOX SECCO MICRONIZZATO - RINF                                        ;KG;       19000;   0,06310;        
