BF;    69;20180406  ;401.00298;FRANCICA FRANCESCO GALVANOTECNICA                           ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;        5000;      3,85;        
BF;    92;20180507  ;401.00298;FRANCICA FRANCESCO GALVANOTECNICA                           ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;        5000;      3,85;        
BF;     3;20180112  ;401.00298;FRANCICA FRANCESCO GALVANOTECNICA                           ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;        5000;      3,85;        
BF;   219;20181109  ;401.00298;FRANCICA FRANCESCO GALVANOTECNICA                           ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;        3000;      3,85;        
BF;   166;20180913  ;401.00298;FRANCICA FRANCESCO GALVANOTECNICA                           ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;        5000;      3,85;        
BF;   162;20180806  ;401.00298;FRANCICA FRANCESCO GALVANOTECNICA                           ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;        5000;      3,85;        
BF;    23;20180207  ;401.00298;FRANCICA FRANCESCO GALVANOTECNICA                           ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;        5000;      3,85;        
BF;   241;20181206  ;401.00298;FRANCICA FRANCESCO GALVANOTECNICA                           ;A0031   ;STAGNO SOLFATO STANNOSO SOLUZ.19                                        ;        5000;      3,85;        
BF; 14519;20180806  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;        4200;      0,62;        
BF;  1011;20180117  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;        5250;      0,62;        
BF;  1950;20180131  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;        3150;      0,62;        
BF;  2937;20180222  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;        3150;      0,62;        
BF; 23024;20181218  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;        3150;      0,62;        
BF; 10264;20180606  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;        4200;      0,62;        
BF;  7461;20180430  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;        4200;      0,62;        
BF; 15738;20180910  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;        3150;      0,62;        
BF; 21773;20181130  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;        4200;      0,62;        
BF; 20002;20181107  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;        3150;      0,62;        
BF; 12383;20180705  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;        4200;      0,62;        
BF; 17663;20181001  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;        3150;      0,62;        
BF;  6044;20180404  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;        4200;      0,62;        
BF;  8780;20180516  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;        3150;      0,62;        
BF;  4767;20180314  ;401.00270;RAINOLDI S.P.A.                                             ;A0102   ;BORACE PENTAIDRATO                                                      ;        4200;      0,62;        
BF; 37347;20181130  ;401.00068;EIGENMANN & VERONELLI                                       ;A0200   ;MOLIBDENO BISOLFURO                                                     ;         200;      22,8;        
